AREA,PERIMETER,SOLIDITY,CONVEX_AREA,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,Class
491606,2525.6931,0.9952,493956,1.1145,0.9684,0.9457,IRAQI
399815,2296.231,0.9924,402885,1.1787,0.9529,0.9192,IRAQI
440427,2391.845,0.9967,441904,1.2669,0.9674,0.8882,IRAQI
429538,2421.332,0.9934,432406,1.3786,0.9207,0.8489,IRAQI
346264,2140.3511,0.9927,348820,1.2514,0.9498,0.8921,IRAQI
493734,2577.707,0.9937,496873,1.3426,0.9338,0.8621,IRAQI
375285,2207.188,0.9939,377576,1.0653,0.968,0.9681,IRAQI
419416,2340.7871,0.996,421118,1.1614,0.9619,0.9269,IRAQI
414712,2341.458,0.9955,416592,1.2337,0.9506,0.8993,IRAQI
411273,2358.1951,0.9889,415907,1.265,0.9294,0.8861,IRAQI
406496,2334.2209,0.991,410199,1.1999,0.9375,0.9113,IRAQI
349532,2150.8059,0.99,353065,1.1351,0.9495,0.9349,IRAQI
478829,2532.502,0.9943,481557,1.3507,0.9382,0.8592,IRAQI
430333,2436.938,0.9943,432806,1.3299,0.9106,0.8632,IRAQI
348500,2259.1169,0.9801,355592,1.2931,0.8581,0.8772,IRAQI
423897,2372.627,0.9936,426631,1.2469,0.9463,0.8942,IRAQI
457240,2482.696,0.9905,461605,1.1739,0.9322,0.9195,IRAQI
391921,2245.811,0.9947,393993,1.0793,0.9765,0.962,IRAQI
451338,2437.7871,0.994,454056,1.1208,0.9544,0.9415,IRAQI
412275,2337.198,0.994,414771,1.2287,0.9484,0.9006,IRAQI
422143,2350.7781,0.9964,423650,1.3059,0.9599,0.8745,IRAQI
394009,2279.7581,0.9945,396190,1.1786,0.9527,0.9188,IRAQI
438787,2463.532,0.9891,443644,1.2727,0.9085,0.8852,IRAQI
448744,2443.4241,0.995,451013,1.3221,0.9445,0.8679,IRAQI
447450,2453.7939,0.995,449709,1.2479,0.9339,0.8919,IRAQI
411322,2337.2439,0.9954,413219,1.2638,0.9462,0.8892,IRAQI
436325,2413.9519,0.9923,439695,1.1982,0.9409,0.9106,IRAQI
411293,2337.731,0.994,413795,1.3011,0.9457,0.8756,IRAQI
445077,2421.2759,0.9927,448336,1.1384,0.954,0.9336,IRAQI
411708,2318.344,0.9965,413165,1.2336,0.9626,0.8989,IRAQI
384507,2233.978,0.9964,385881,1.1629,0.9682,0.9257,IRAQI
446609,2496.418,0.99,451141,1.268,0.9005,0.8853,IRAQI
469185,2486.4851,0.9962,470970,1.3165,0.9536,0.8701,IRAQI
447729,2454.4851,0.991,451808,1.1873,0.9339,0.9146,IRAQI
408254,2345.2939,0.994,410709,1.2398,0.9327,0.8975,IRAQI
439268,2470.478,0.9888,444245,1.2056,0.9044,0.9075,IRAQI
472349,2494.425,0.9942,475092,1.2424,0.954,0.8958,IRAQI
446318,2426.532,0.9944,448852,1.2621,0.9525,0.8878,IRAQI
454346,2487.5029,0.9929,457601,1.4216,0.9227,0.837,IRAQI
449166,2454.5291,0.9942,451774,1.4147,0.9369,0.8391,IRAQI
449218,2453.3081,0.9953,451354,1.2434,0.9379,0.8938,IRAQI
478413,2551.095,0.9951,480750,1.488,0.9238,0.8185,IRAQI
420085,2375.873,0.9952,422115,1.2859,0.9352,0.8804,IRAQI
443501,2441.2361,0.9949,445766,1.3751,0.9352,0.8514,IRAQI
484869,2541.9839,0.9956,487031,1.2208,0.943,0.9003,IRAQI
457583,2452.2009,0.9951,459847,1.208,0.9562,0.908,IRAQI
443176,2396.9109,0.9955,445166,1.1659,0.9694,0.9248,IRAQI
481197,2549.073,0.9961,483057,1.2554,0.9306,0.891,IRAQI
442441,2480.033,0.9869,448328,1.3346,0.904,0.8607,IRAQI
454113,2503.1279,0.9868,460170,1.2617,0.9108,0.8853,IRAQI
503974,2596.7581,0.9954,506325,1.3493,0.9392,0.8595,IRAQI
425053,2407.5581,0.9951,427146,1.3113,0.9215,0.8699,IRAQI
447583,2447.01,0.9963,449241,1.3158,0.9393,0.8711,IRAQI
514745,2630.8369,0.9928,518474,1.2219,0.9346,0.9003,IRAQI
430605,2414.2571,0.99,434954,1.2133,0.9284,0.9022,IRAQI
385329,2262.3159,0.9934,387872,1.2367,0.9461,0.895,IRAQI
398543,2366.3721,0.9799,406734,1.4749,0.8944,0.8151,IRAQI
464259,2486.0669,0.9944,466869,1.2836,0.9439,0.8804,IRAQI
365520,2265.8479,0.9919,368512,1.4611,0.8947,0.8227,IRAQI
481062,2549.1389,0.9911,485375,1.1689,0.9303,0.924,IRAQI
412498,2397.5879,0.994,415007,1.5379,0.9017,0.8024,IRAQI
421470,2374.4221,0.9944,423855,1.2639,0.9394,0.8888,IRAQI
404150,2332.8379,0.9956,405941,1.3343,0.9332,0.8617,IRAQI
476205,2534.3921,0.9933,479413,1.2645,0.9317,0.8854,IRAQI
407629,2301.946,0.9962,409191,1.1545,0.9667,0.928,IRAQI
451992,2445.5029,0.9959,453835,1.2278,0.9497,0.8983,IRAQI
386536,2280.7981,0.9941,388827,1.1916,0.9337,0.9129,IRAQI
435528,2430.1211,0.9874,441070,1.1149,0.9268,0.9436,IRAQI
441826,2486.4771,0.9948,444138,1.562,0.898,0.7962,IRAQI
441779,2426.1641,0.9937,444560,1.227,0.9431,0.9014,IRAQI
462347,2516.8679,0.9819,470882,1.2114,0.9172,0.9074,IRAQI
476569,2536.7649,0.9955,478711,1.2856,0.9306,0.8783,IRAQI
343845,2197.675,0.9863,348613,1.3597,0.8946,0.854,ROTANA
387499,2453.094,0.9719,398684,1.4391,0.8092,0.827,ROTANA
419881,2440.189,0.9893,424423,1.307,0.8861,0.8668,ROTANA
376183,2327.835,0.9747,385937,1.3988,0.8724,0.84,ROTANA
436352,2633.251,0.9783,446045,1.3273,0.7908,0.8637,ROTANA
343814,2231.1201,0.9808,350554,1.3954,0.8679,0.8414,ROTANA
435003,2521.8469,0.9744,446419,1.3441,0.8595,0.8553,ROTANA
345078,2204.9231,0.989,348921,1.3902,0.8919,0.8419,ROTANA
362850,2295.7791,0.9774,371256,1.3735,0.8651,0.8465,ROTANA
412688,2640.7351,0.9723,424464,1.6048,0.7437,0.7837,ROTANA
399876,2377.1899,0.9912,403438,1.3074,0.8892,0.8682,ROTANA
402063,2547.897,0.9373,428938,1.4574,0.7783,0.8092,ROTANA
389064,2342.3311,0.9913,392486,1.3697,0.8911,0.8514,ROTANA
420809,2512.29,0.9794,429643,1.2622,0.8378,0.8832,ROTANA
335782,2171.8191,0.9916,338621,1.4317,0.8946,0.833,ROTANA
425374,2466.8701,0.9838,432357,1.3079,0.8784,0.8688,ROTANA
391106,2369.116,0.9842,397388,1.4591,0.8757,0.8236,ROTANA
344013,2195.156,0.9897,347582,1.5388,0.8971,0.804,ROTANA
426615,2450.561,0.987,432255,1.1553,0.8927,0.9222,ROTANA
345938,2256.375,0.9843,351450,1.544,0.8539,0.8015,ROTANA
403486,2348.0891,0.9901,407532,1.3449,0.9196,0.859,ROTANA
445394,2482.9741,0.9897,450019,1.3608,0.9078,0.855,ROTANA
410745,2438.5959,0.9883,415594,1.5507,0.868,0.7995,ROTANA
473650,2597.4441,0.9874,479704,1.2995,0.8822,0.8715,ROTANA
294001,2074.262,0.9767,301007,1.3922,0.8587,0.8352,ROTANA
420057,2443.8411,0.9789,429125,1.2901,0.8838,0.8744,ROTANA
397581,2408.3799,0.983,404461,1.3611,0.8614,0.8537,ROTANA
359037,2249.9441,0.9604,373845,1.2757,0.8913,0.8625,ROTANA
337806,2227.0901,0.9682,348887,1.5029,0.8559,0.8047,ROTANA
413120,2426.52,0.9823,420557,1.2764,0.8817,0.8798,ROTANA
418304,2393.2261,0.9788,427359,1.2301,0.9178,0.8902,ROTANA
443091,2540.2661,0.9861,449339,1.4169,0.8629,0.8337,ROTANA
474303,2567.4089,0.9922,478022,1.3491,0.9042,0.8588,ROTANA
438566,2547.54,0.978,448437,1.4703,0.8492,0.8194,ROTANA
306838,2083.2939,0.9843,311721,1.3653,0.8884,0.8495,ROTANA
443310,2505.5481,0.9814,451720,1.2556,0.8874,0.887,ROTANA
404061,2413.9541,0.9876,409147,1.4907,0.8714,0.8141,ROTANA
363000,2213.5681,0.9899,366699,1.2333,0.931,0.8966,ROTANA
338672,2246.271,0.9685,349688,1.4837,0.8435,0.8101,ROTANA
409795,2455.8789,0.9774,419259,1.3515,0.8538,0.8528,ROTANA
415137,2366.7019,0.992,418470,1.2521,0.9314,0.8898,ROTANA
412809,2519.761,0.982,420356,1.5353,0.817,0.7987,ROTANA
476879,2615.5859,0.9872,483065,1.3928,0.876,0.8462,ROTANA
421712,2499.386,0.9828,429082,1.4204,0.8483,0.8314,ROTANA
306429,2104.136,0.9861,310757,1.419,0.8697,0.8343,ROTANA
485302,2644.2271,0.9841,493152,1.4029,0.8722,0.8403,ROTANA
407286,2448.384,0.9837,414030,1.4395,0.8538,0.8271,ROTANA
365333,2322.74,0.984,371273,1.5614,0.8509,0.7967,ROTANA
322070,2190.1379,0.9845,327134,1.5084,0.8438,0.8064,ROTANA
391145,2403.439,0.9809,398756,1.5715,0.8509,0.7959,ROTANA
393597,2314.4861,0.9898,397668,1.2277,0.9233,0.8997,ROTANA
410245,2504.6201,0.9824,417577,1.4987,0.8218,0.8083,ROTANA
471281,2625.2109,0.9795,481134,1.3445,0.8593,0.8562,ROTANA
401863,2463.082,0.9818,409326,1.3799,0.8324,0.8393,ROTANA
466516,2517.989,0.9917,470414,1.2349,0.9246,0.8968,ROTANA
313775,2112.8359,0.9873,317818,1.4312,0.8833,0.8303,ROTANA
375249,2361.915,0.9784,383519,1.479,0.8453,0.8177,ROTANA
410371,2472.636,0.9844,416888,1.5527,0.8435,0.7985,ROTANA
334390,2217.8301,0.9861,339100,1.4793,0.8543,0.8133,ROTANA
421946,2481.4951,0.9809,430148,1.4803,0.8611,0.8167,ROTANA
378125,2338.3799,0.9764,387284,1.3949,0.869,0.8398,ROTANA
452293,2540.5979,0.9902,456763,1.4613,0.8806,0.8259,ROTANA
339538,2261.261,0.9815,345936,1.1965,0.8344,0.9041,ROTANA
448634,2522.3091,0.9904,453005,1.4367,0.8861,0.8333,ROTANA
369382,2397.4419,0.9777,377795,1.4045,0.8076,0.8364,ROTANA
430797,2525.6411,0.9752,441741,1.5665,0.8487,0.7934,ROTANA
403926,2464.7891,0.9678,417345,1.3502,0.8355,0.8497,ROTANA
350033,2232.9929,0.9872,354582,1.4351,0.8822,0.8328,ROTANA
362994,2338.2161,0.9701,374179,1.4799,0.8343,0.8148,ROTANA
468855,2620.2681,0.9832,476855,1.3856,0.8581,0.8415,ROTANA
388951,2422.0439,0.9782,397626,1.2196,0.8332,0.901,ROTANA
329691,2811.9971,0.9651,341597,1.8925,0.5239,0.7205,SAFAVI
334283,2307.666,0.9803,340999,1.7645,0.7888,0.7513,SAFAVI
346537,2315.5601,0.9851,351786,1.8728,0.8122,0.7298,SAFAVI
345062,2668.8879,0.9694,355967,2.0176,0.6088,0.7015,SAFAVI
332213,2502.166,0.9675,343374,1.8463,0.6668,0.7332,SAFAVI
360895,2317.3181,0.986,366019,1.6806,0.8445,0.7704,SAFAVI
261748,2147.834,0.9724,269176,2.1116,0.713,0.6842,SAFAVI
272004,2183.8789,0.9647,281945,2.2963,0.7167,0.654,SAFAVI
310636,2172.677,0.9778,317703,1.6007,0.8269,0.7869,SAFAVI
390161,2501.55,0.9819,397351,1.8523,0.7835,0.7333,SAFAVI
1987,2289.3059,0.8804,2257,535.5257,0.0048,0.0411,SAFAVI
324871,2196.303,0.9747,333319,1.5776,0.8463,0.7865,SAFAVI
296641,2042.588,0.9866,300676,1.5242,0.8935,0.808,SAFAVI
315981,2314.436,0.9608,328868,2.0938,0.7413,0.6868,SAFAVI
316348,2251.885,0.9827,321905,1.9263,0.7839,0.7145,SAFAVI
307075,2120.0061,0.9861,311412,1.4635,0.8586,0.8252,SAFAVI
342249,2263.8721,0.9805,349053,1.6986,0.8392,0.7661,SAFAVI
319486,2155.209,0.9873,323609,1.6112,0.8643,0.7856,SAFAVI
338159,2412.6431,0.966,350043,1.8098,0.73,0.7409,SAFAVI
336865,2580.1411,0.9601,350873,1.8077,0.6359,0.7417,SAFAVI
343471,2252.614,0.9752,352200,1.5672,0.8506,0.7902,SAFAVI
305281,2094.0471,0.9875,309133,1.5773,0.8749,0.7948,SAFAVI
343837,2401.0491,0.9685,355036,1.9666,0.7495,0.7095,SAFAVI
368888,2340.272,0.99,372629,1.7233,0.8464,0.7609,SAFAVI
304269,2135.521,0.9914,306911,1.6465,0.8384,0.7787,SAFAVI
344693,2275.437,0.9834,350497,1.675,0.8366,0.7707,SAFAVI
329844,2263.136,0.9747,338410,1.6232,0.8093,0.7804,SAFAVI
379392,2423.8159,0.98,387151,1.7553,0.8115,0.7525,SAFAVI
369552,2425.3091,0.9777,377965,1.7417,0.7895,0.7562,SAFAVI
348682,2230.7729,0.9939,350832,1.6871,0.8805,0.7675,SAFAVI
333946,2397.759,0.9794,340983,1.8767,0.7299,0.7247,SAFAVI
390524,2520.322,0.9661,404228,1.5431,0.7726,0.8012,SAFAVI
314958,2248.6421,0.9764,322579,1.8713,0.7827,0.7287,SAFAVI
260563,1975.374,0.9871,263977,1.7415,0.8391,0.7554,SAFAVI
305013,2128.178,0.9855,309501,1.605,0.8463,0.7878,SAFAVI
309308,2247.3501,0.9662,320141,1.8052,0.7696,0.7383,SAFAVI
292394,2104.054,0.979,298663,1.6512,0.83,0.7757,SAFAVI
299508,2159.3999,0.9714,308330,1.7838,0.8071,0.7427,SAFAVI
438181,2603.1021,0.9774,448303,1.5964,0.8126,0.789,SAFAVI
306542,2415.4199,0.9659,317373,1.9832,0.6603,0.7054,SAFAVI
298963,2119.7129,0.9424,317248,1.3282,0.8361,0.8536,SAFAVI
341948,2344.6541,0.9747,350834,1.9062,0.7817,0.7205,SAFAVI
266271,1979.91,0.9917,268512,1.7217,0.8536,0.7604,SAFAVI
324322,2206.6931,0.986,328911,1.6867,0.837,0.7685,SAFAVI
358061,2341.7161,0.9781,366070,1.7586,0.8205,0.7517,SAFAVI
305436,2113.0339,0.9848,310166,1.5791,0.8596,0.7942,SAFAVI
324333,2251.9519,0.9786,331440,1.8161,0.8037,0.7364,SAFAVI
363949,2395.4839,0.9783,372012,1.77,0.797,0.748,SAFAVI
359736,2309.425,0.9869,364513,1.7051,0.8476,0.7643,SAFAVI
346812,2241.5271,0.9836,352609,1.5206,0.8674,0.8077,SAFAVI
291741,2173.8501,0.9622,303203,1.8179,0.7758,0.7387,SAFAVI
285591,2033.105,0.9893,288679,1.6167,0.8682,0.7836,SAFAVI
405080,2529.947,0.9643,420062,1.5863,0.7953,0.7901,SAFAVI
324072,2286.123,0.9674,334988,1.9862,0.7792,0.7055,SAFAVI
417042,2416.6079,0.9916,420594,1.5239,0.8974,0.809,SAFAVI
353934,2500.2959,0.9426,375480,2.3328,0.7115,0.6476,SAFAVI
396005,2696.511,0.9431,419899,2.2228,0.6844,0.6632,SAFAVI
429984,2502.5491,0.9896,434508,1.5382,0.8628,0.8047,SAFAVI
314398,2301.7771,0.9603,327390,2.0079,0.7457,0.7014,SAFAVI
406895,2607.74,0.972,418597,1.6965,0.7519,0.7637,SAFAVI
301865,2105.5049,0.9891,305204,1.5789,0.8557,0.7933,SAFAVI
287242,2113.79,0.9777,293808,1.7989,0.8079,0.7432,SAFAVI
325494,2306.311,0.9389,346689,1.698,0.769,0.7552,SAFAVI
356651,2280.439,0.9889,360665,1.5289,0.8618,0.8067,SAFAVI
348293,2552.9199,0.9701,359035,1.6251,0.6716,0.7785,SAFAVI
390961,2480.5339,0.9847,397037,1.9633,0.7985,0.7115,SAFAVI
265688,2372.804,0.9603,276661,2.2933,0.593,0.6548,SAFAVI
371994,2623.8569,0.9679,384342,1.8921,0.679,0.7233,SAFAVI
340970,2301.739,0.9895,344574,1.8657,0.8087,0.7298,SAFAVI
330662,2226.217,0.9801,337365,1.7181,0.8384,0.7615,SAFAVI
379834,2640.3721,0.9692,391899,1.7862,0.6847,0.7421,SAFAVI
354939,2431.9409,0.9701,365893,1.7894,0.7541,0.7452,SAFAVI
376345,2531.1399,0.9688,388480,1.5843,0.7382,0.7895,SAFAVI
348611,2413.0229,0.9357,372583,1.8112,0.7524,0.7379,SAFAVI
